date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:38	29492/29492	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:35%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3546-vagas-para-auxiliar-de-producao-aeris-energy	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3546-vagas-para-auxiliar-de-producao-aeris-energy.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:40	26734/26734	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:36%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3556-22-convocacao-processo-seletivo-simplificado-2021	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3556-22-convocacao-processo-seletivo-simplificado-2021.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:40	7545/7545	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capa22convocacao_120x80.jpg	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capa22convocacao_120x80.jpg	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:41	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capacmic_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capacmic_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:43	26771/26771	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:40%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3545-resultado-geral-i-olimpiadas-municipais	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3545-resultado-geral-i-olimpiadas-municipais.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:43	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capaaeris_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capaaeris_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:44	27269/27269	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:40%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3535-21-convocacao-processo-seletivo-simplificado-2021	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3535-21-convocacao-processo-seletivo-simplificado-2021.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:46	34733/34733	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:42%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3534-lista-de-beneficiarios-quarta-entrega-de-kits-agricolas-programa-cultiva	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3534-lista-de-beneficiarios-quarta-entrega-de-kits-agricolas-programa-cultiva.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:47	27243/27243	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:43%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3527-segunda-convocacao-selecao-de-estagiarios-2021	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3527-segunda-convocacao-selecao-de-estagiarios-2021.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:51	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capa21convocacao_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capa21convocacao_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:51	26063/26063	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:47%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3523-comunicado-05-pacto-pela-aprendizagem	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3523-comunicado-05-pacto-pela-aprendizagem.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:51	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capaprogramacultiva_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capaprogramacultiva_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:52	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capaconvocacao2_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capaconvocacao2_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
